id,hash,project_key,project_name,title,floor,total_floors,area,facing,possession,price,price_raw,source,link,first_seen,last_seen,status
1,7a3ff184,sobha-sentosa,Sobha Sentosa,3 BHK Flat In Sobha Sentosa For Sale  In Balagere,0,17,2150,West,Jun 2026,₹ 2.1 Crores,21000000,NoBroker,https://www.nobroker.in/property/buy/3-bhk-apartment-for-sale-in-balagere-bangalore/8a9f85838eb916b6018eb93b74b30c9e/detail,2026-08-08,2026-08-13,active
2,f2cd1138,sobha-sentosa,Sobha Sentosa,2 BHK Flat In Sobha Sentosa For Sale  In Balagere,0,4,1800,North,Aug 2026,₹ 2.5 Crores,25000000,NoBroker,https://www.nobroker.in/property/buy/2-bhk-apartment-for-sale-in-balagere-bangalore/8aa9b39f9f474c29019f4805514c4a37/detail,2026-08-08,2026-08-13,active
3,1b43b74d,sobha-sentosa,Sobha Sentosa,3 BHK Flat In Sobha Sentosa For Sale  In Balagere,0,17,1915,East,Jul 2026,₹ 3.1 Crores,31000000,NoBroker,https://www.nobroker.in/property/buy/3-bhk-apartment-for-sale-in-balagere-bangalore/8aa99da09e4dbe8e019e4e63ec6b4f3d/detail,2026-08-08,2026-08-13,active
4,623834bb,sobha-sentosa,Sobha Sentosa,3 BHK Flat In Sobha Sentosa For Sale  In Balagere,1,17,2150,East,Jul 2026,₹ 2.17 Crores,21700000,NoBroker,https://www.nobroker.in/property/buy/3-bhk-apartment-for-sale-in-balagere-bangalore/8aa991169f45cbc5019f4650653856ed/detail,2026-08-08,2026-08-13,active
5,0b10d4ba,sobha-sentosa,Sobha Sentosa,3 BHK Flat In Sobha Sentosa For Sale  In Balagere,4,17,2150,East,Aug 2026,₹ 1.95 Crores,19500000,NoBroker,https://www.nobroker.in/property/buy/3-bhk-apartment-for-sale-in-balagere-bangalore/8a9f97878c84ffe4018c858ee2d52fb0/detail,2026-08-08,2026-08-13,active
6,8910bed3,sobha-sentosa,Sobha Sentosa,"3 BHK Flat for Sale in Balagere, Bangalore",4,18,2150,N/A,Jun 2026,₹2.30 Cr,23000000,MagicBricks,https://www.magicbricks.com/propertyDetails/3-BHK-1804-Sq-ft-Multistorey-Apartment-FOR-Sale-Balagere-in-Bangalore&id=4d423733363833343739,2026-08-08,2026-08-13,active
7,82feffec,sobha-sentosa,Sobha Sentosa,3 BHK Flat In Sobha Sentosa For Sale  In Sobha Sentosa,4,18,1915,East,Feb 2026,₹ 3.3 Crores,33000000,NoBroker,https://www.nobroker.in/property/buy/3-bhk-apartment-for-sale-in-sobha-sentosa-bangalore/8a9f9243932dc72501932df2d859083b/detail,2026-08-08,2026-08-13,active
8,8c88c45e,sobha-sentosa,Sobha Sentosa,1 BHK Flat In Sobha Sentosa For Sale  In Balagere,5,18,689,East,Jun 2026,₹ 1.02 Crores,10183333,NoBroker,https://www.nobroker.in/property/buy/1-bhk-apartment-for-sale-in-balagere-bangalore/8a9fb0828074c6db018074d78b8b07a1/detail,2026-08-08,2026-08-13,active
9,125bdbfb,sobha-sentosa,Sobha Sentosa,1 BHK Flat In Sobha Sentosa For Sale  In Varthur,5,18,679,Don'T Know,Mar 2024,₹ 1.02 Crores,10183333,NoBroker,https://www.nobroker.in/property/buy/1-bhk-apartment-for-sale-in-varthur-bangalore/8a9fae82807fb84501807fe960b31df5/detail,2026-08-08,2026-08-13,active
10,60bf4a71,sobha-sentosa,Sobha Sentosa,"3 BHK Flat for Sale in Balagere, Bangalore",5,18,2150,N/A,Jun 2026,₹1.92 Cr,19200000,MagicBricks,https://www.magicbricks.com/propertyDetails/3-BHK-1607-Sq-ft-Multistorey-Apartment-FOR-Sale-Balagere-in-Bangalore&id=4d423736313431353037,2026-08-08,2026-08-13,active
