id,hash,project_key,project_name,title,floor,total_floors,area,facing,possession,price,price_raw,source,link,first_seen,last_seen,status
1,27c6762a,sobha-neopolis,Sobha Neopolis,1 BHK Flat In Sobha Neopolis For Sale  In Panathur,0,18,660,West,Oct 2026,₹ 1.35 Crores,13500000,NoBroker,https://www.nobroker.in/property/buy/1-bhk-apartment-for-sale-in-panathur-bangalore/8aa9bb209c284e4f019c28569bfb023b/detail,2026-07-21,2026-09-26,active
2,f57fb777,sobha-neopolis,Sobha Neopolis,3 BHK Flat In Sobha Neopolis For Sale  In Panathur,0,19,1915,East,Aug 2026,₹ 2.85 Crores,28500000,NoBroker,https://www.nobroker.in/property/buy/3-bhk-apartment-for-sale-in-panathur-bangalore/8aa9acc09e4dbe5e019e4e4beecc4265/detail,2026-07-21,2026-09-26,active
3,82277eac,sobha-neopolis,Sobha Neopolis,4 BHK Flat In Sobha Neopolis For Sale  In Panathur,0,18,2481,East,Dec 2030,₹ 3.58 Crores,35809524,NoBroker,https://www.nobroker.in/property/buy/4-bhk-apartment-for-sale-in-panathur-bangalore/8aa9990e9f45cc0d019f46c73091259e/detail,2026-07-21,2026-09-26,active
4,fef5e497,sobha-neopolis,Sobha Neopolis,3 BHK Flat In Sobha Neopolis For Sale  In Panathur,1,18,1611,West,Oct 2026,₹ 2.6 Crores,26000000,NoBroker,https://www.nobroker.in/property/buy/3-bhk-apartment-for-sale-in-panathur-bangalore/8aa9a46a9bfe7e40019bff1a15fb4646/detail,2026-07-21,2026-09-26,active
5,c7c1a978,sobha-neopolis,Sobha Neopolis,"3 BHK Flat In Sobha Neopolis, Panathur For Sale  In Panathur",1,18,1611,East,Nov 2027,₹ 2.75 Crores,27500000,NoBroker,https://www.nobroker.in/property/buy/3-bhk-apartment-for-sale-in-panathur-bangalore/8aa9af849f707ed7019f70f048ab2d46/detail,2026-07-21,2026-09-26,active
6,b4330173,sobha-neopolis,Sobha Neopolis,3 BHK Flat In Sobha Neopolis For Sale  In Panathur,1,17,1915,East,Dec 2026,₹ 2.81 Crores,28100000,NoBroker,https://www.nobroker.in/property/buy/3-bhk-apartment-for-sale-in-panathur-bangalore/8aa9bb849c95534b019c95d92ae322ab/detail,2026-07-21,2026-09-26,active
7,4c3503c8,sobha-neopolis,Sobha Neopolis,1 BHK Flat In Sobha Neopolis For Sale  In Panathur,2,14,661,East,Sep 2026,₹ 1.05 Crores,10500000,NoBroker,https://www.nobroker.in/property/buy/1-bhk-apartment-for-sale-in-panathur-bangalore/8aa9a1939c3c472f019c3cc250d2368f/detail,2026-07-21,2026-09-26,active
8,633ffebd,sobha-neopolis,Sobha Neopolis,1 BHK Flat In Sobha Neopolis For Sale  In Panathur,2,14,660,East,Sep 2026,₹ 1.6 Crores,16000000,NoBroker,https://www.nobroker.in/property/buy/1-bhk-apartment-for-sale-in-panathur-bangalore/8aa9ae72a028639601a0292dd1eb278b/detail,2026-08-23,2026-09-26,active
9,5094bb29,sobha-neopolis,Sobha Neopolis,3 BHK Flat In Sobha Neopolis For Sale  In Panathur,2,15,1611,West,May 2026,₹ 2.39 Crores,23899999,NoBroker,https://www.nobroker.in/property/buy/3-bhk-apartment-for-sale-in-panathur-bangalore/8a9f9103915e4a9101915e888d910e82/detail,2026-07-21,2026-09-25,active
10,fbc4a092,sobha-neopolis,Sobha Neopolis,3 BHK Flat In Sobha Neopolis For Sale  In Panathur,2,18,1611,East,Aug 2027,₹ 2.5 Crores,25000000,NoBroker,https://www.nobroker.in/property/buy/3-bhk-apartment-for-sale-in-panathur-bangalore/8aa9b5b3a0154ac501a015b1adfd3438/detail,2026-08-18,2026-09-26,active
